Province,City,Location,Starts/Single,Starts/Semi,Starts/Row,Starts/Apt,Starts/Total,Starts/Single,Starts/Semi,Starts/Row,Starts/Apt,Starts/Total,Completions/Single,Completions/Semi,Completions/Row,Completions/Apt,Completions/Total,Completions/Single,Completions/Semi,Completions/Row,Completions/Apt,Completions/Total,Under Construction/Single,Under Construction/Semi,Under Construction/Row,Under Construction/Apt,Under Construction/Total
,,,August,August,August,August,August,January to August,January to August,January to August,January to August,January to August,August,August,August,August,August,January to August,January to August,January to August,January to August,January to August,August,August,August,August,August
NB,Moncton CMA,Dieppe C,2,0,10,18,30,11,26,187,238,462,2,4,25,0,31,18,32,212,110,372,12,32,232,911,"1,187"
NB,Moncton CMA,Dorchester P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NB,Moncton CMA,Dorchester VL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NB,Moncton CMA,Elgin P,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
NB,Moncton CMA,Hillsborough P,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0
NB,Moncton CMA,Hillsborough VL,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
NB,Moncton CMA,Hopewell P,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
NB,Moncton CMA,Memramcook VL,9,0,0,1,10,16,0,0,2,18,0,0,0,0,0,4,0,4,0,8,19,0,0,2,21
NB,Moncton CMA,Moncton C,8,18,0,199,225,60,94,13,802,969,8,14,25,244,291,43,52,44,968,"1,107",62,98,23,"1,581","1,764"
NB,Moncton CMA,Moncton P,9,0,4,0,13,38,0,4,3,45,5,0,0,1,6,36,0,0,3,39,47,0,4,3,54
NB,Moncton CMA,Riverview TV,4,4,0,154,162,18,28,8,163,217,1,6,4,48,59,11,8,26,141,186,17,26,12,291,346
NB,Moncton CMA,Saint0Paul P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
NB,Moncton CMA,Salisbury VL,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,5,0,0,0,5,5,0,0,0,5
NB,Saint John CMA,Grand Bay0Westfield TV,1,0,0,0,1,7,0,0,0,7,0,0,0,0,0,6,0,0,0,6,11,0,0,0,11
NB,Saint John CMA,Greenwich P,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,2,0,0,0,2,7,0,0,0,7
NB,Saint John CMA,Hampton P,1,0,0,0,1,5,0,0,0,5,0,0,0,0,0,4,0,0,0,4,8,0,0,0,8
NB,Saint John CMA,Hampton TV,1,2,0,0,3,9,6,0,0,15,0,0,0,0,0,13,2,0,0,15,10,6,0,0,16
NB,Saint John CMA,Kingston P,1,0,0,0,1,9,0,0,0,9,1,0,0,0,1,9,0,0,0,9,10,0,0,0,10
NB,Saint John CMA,Lepreau P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,1
NB,Saint John CMA,Musquash P,1,0,0,0,1,4,0,0,0,4,0,0,0,0,0,4,0,0,0,4,3,0,0,0,3
NB,Saint John CMA,Norton P,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,6,0,0,0,6,2,0,0,0,2
NB,Saint John CMA,Petersville P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
NB,Saint John CMA,Quispamsis TV,8,2,0,1,11,36,4,3,57,100,0,0,0,8,8,39,2,3,16,60,51,4,3,81,139
NB,Saint John CMA,Rothesay P,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,36,38
NB,Saint John CMA,Rothesay TV,1,0,0,0,1,10,0,0,48,58,2,0,0,0,2,6,0,0,0,6,13,0,0,96,109
NB,Saint John CMA,Saint John C,9,0,4,15,28,37,0,20,225,282,9,0,0,0,9,45,0,13,276,334,28,0,24,455,507
NB,Saint John CMA,Saint Martins P,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,3,0,0,0,3,1,0,0,0,1
NB,Saint John CMA,Simonds P,0,0,0,0,0,7,0,0,0,7,1,0,0,0,1,8,0,0,0,8,5,0,0,0,5
NB,Saint John CMA,St. Martins VL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NB,Saint John CMA,Upham P,1,0,0,0,1,4,0,0,0,4,0,0,0,0,0,3,0,0,0,3,4,0,0,0,4
NB,Saint John CMA,Westfield P,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3,1,0,0,0,1
