Province,City,Location,Starts/Single,Starts/Semi,Starts/Row,Starts/Apt,Starts/Total,Completions/Single,Completions/Semi,Completions/Row,Completions/Apt,Completions/Total,Under Construction/Single,Under Construction/Semi,Under Construction/Row,Under Construction/Apt,Under Construction/Total
NB,Saint John CMA,Norton P,4,0,0,0,4,6,0,0,0,6,2,0,0,0,2
NB,Saint John CMA,Petersville P,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
NB,Saint John CMA,Quispamsis TV,36,4,3,57,100,39,2,3,16,60,51,4,3,81,139
NB,Saint John CMA,Rothesay P,1,0,0,0,1,0,0,0,0,0,2,0,0,36,38
NB,Saint John CMA,Rothesay TV,10,0,0,48,58,6,0,0,0,6,13,0,0,96,109
NB,Saint John CMA,Saint John C,37,0,20,225,282,45,0,13,276,334,28,0,24,455,507
NB,Saint John CMA,Saint Martins P,2,0,0,0,2,3,0,0,0,3,1,0,0,0,1
NB,Saint John CMA,Simonds P,7,0,0,0,7,8,0,0,0,8,5,0,0,0,5
NB,Saint John CMA,St. Martins VL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NB,Saint John CMA,Upham P,4,0,0,0,4,3,0,0,0,3,4,0,0,0,4
NB,Saint John CMA,Westfield P,1,0,0,0,1,3,0,0,0,3,1,0,0,0,1
